id,title,scope,milestone,priority,size,owner_role,depends_on,acceptance_criteria,body_path
RB-001,[RB-001] Pin Godot toolchain and initialize repository,mvp,M0,P0,S,Engineering,,"A clean checkout imports on a second workstation or clean runner. | No generated cache, signing secret, Flutter project, or mandatory Kotlin dependency is committed. | Repository documents the exact engine/export-template pairing.",tasks/issues/RB-001.md
RB-002,[RB-002] Select physical Android test matrix,mvp,M0,P0,S,QA,RB-001,"At least three actual devices are identified with owners/access. | Proposed minimum Android support is marked unapproved until tests pass. | Bluetooth, interruptions, and notch/navigation conditions are represented.",tasks/issues/RB-002.md
RB-003,[RB-003] Benchmark Mobile and Compatibility renderers,mvp,M0,P0,M,Rendering,RB-001; RB-002,"Decision includes measured p95/p99 data, not only average FPS. | Target/low tiers are named with limitations and renderer-specific concerns. | No renderer switch is hidden inside an ordinary graphics-quality toggle.",tasks/issues/RB-003.md
RB-004,"[RB-004] Validate Jolt ball, ramp, and collision behavior",mvp,M0,P0,M,Gameplay,RB-001; RB-002,"No unacceptable tunneling in the diagnostic power range. | A repeatable resting/rolling approach is documented. | Selected engine, tick rate, and tuning version are recorded.",tasks/issues/RB-004.md
RB-005,[RB-005] Prove mic permissions and hardware release lifecycle,mvp,M0,P0,L,Audio/Platform,RB-001; RB-002,No app-level audio recording or upload exists. | Capture never routes audible microphone sound to speakers. | Hardware release result is documented; failures block voice release rather than being relabeled. | A Kotlin evaluation occurs only if supported engine behavior cannot meet the requirement.,tasks/issues/RB-005.md
RB-006,[RB-006] Approve MVP flows and reconcile concept mockups,mvp,M0,P0,S,Product/Design,RB-001,"No hearts, shop, daily challenge, gems, or voice-score metric in MVP requirements. | Every essential denial/cancel/loading/save error has a planned path. | PRD and UI spec precedence over mockups is explicit.",tasks/issues/RB-006.md
RB-007,"[RB-007] Implement typed shot, score, and tuning domain contracts",mvp,M1,P0,S,Gameplay,RB-001; RB-006,"Touch and Voice have one curve with identical constants. | Boundary tests cover p=0, p=1, invalid numbers, and star thresholds. | No UI, audio, or physics-node dependency exists in pure math functions.",tasks/issues/RB-007.md
RB-008,[RB-008] Implement authoritative gameplay state machine,mvp,M1,P0,M,Gameplay,RB-007,Duplicate release produces at most one shot/stroke. | Background before physics commit cancels without a spent stroke. | Only GameSessionController writes stroke totals and result state.,tasks/issues/RB-008.md
RB-009,[RB-009] Create level wrapper and scene-marker contract,mvp,M1,P0,S,Gameplay,RB-001; RB-007,A minimal scene loads by validated ID. | Missing required markers produces an actionable validation error. | Reimported art does not overwrite gameplay nodes.,tasks/issues/RB-009.md
RB-010,[RB-010] Implement ball impulse and rolling resistance,mvp,M1,P0,M,Gameplay,RB-004; RB-007; RB-009,Physics rate stays fixed at 60 Hz across quality tiers. | Flat roll distance is measured at four powers. | No per-frame impulse multiplication or nonuniform collider scaling.,tasks/issues/RB-010.md
RB-011,[RB-011] Implement playfield aiming and input ownership,mvp,M1,P0,M,Gameplay/UI,RB-008; RB-010,Dragging a UI control never changes world aim. | Aim locks during capture and shot commit. | Narrow-screen gestures remain usable with one thumb.,tasks/issues/RB-011.md
